scenario,run,v_measure,ari,noise_ratio,n_clusters,silhouette,time_s,beat_run_b
stare_low,Run_J,0.0441,0.0477,0.5117,3.35,-0.0782,5.53,NO
stare_low,Run_K,0.7706,0.786,0.0014,2.69,0.5274,28.05,YES
stare_low,Run_L,0.0757,0.0397,0.0858,10.48,-0.1427,9.57,NO
stare_low,Run_M,0.0,0.0,0.2458,0.79,-1.0,40.39,NO
stare_low,Run_B,0.4987,0.4313,0.2458,2.1,0.0,10.0,baseline
stare_low,Run_I_CNN,0.786,0.7907,0.098,0.0,0.0,5.0,YES
stare_high,Run_J,0.0853,0.0417,0.5791,3.63,-0.0385,4.85,NO
stare_high,Run_K,0.8904,0.9454,0.0098,6.04,0.4208,163.48,TIE
stare_high,Run_L,0.2562,0.1224,0.0614,23.62,-0.2299,9.74,NO
stare_high,Run_M,0.004,0.0013,0.0338,1.06,-0.9431,64.7,NO
stare_high,Run_B,0.902,0.9693,0.0338,10.5,0.0,10.0,baseline
stare_high,Run_I_CNN,0.9326,0.9623,0.053,0.0,0.0,5.0,YES
scan_low,Run_J,0.0556,0.0417,0.5686,3.11,-0.1552,4.32,NO
scan_low,Run_K,0.6293,0.5811,0.0004,3.55,0.4814,22.82,TIE
scan_low,Run_L,0.0718,0.0544,0.0562,8.39,-0.0764,9.38,NO
scan_low,Run_M,0.0041,0.0014,0.0164,1.04,-0.9652,161.94,NO
scan_low,Run_B,0.6479,0.597,0.0164,4.0,0.0,10.0,baseline
scan_low,Run_I_CNN,0.5828,0.5309,0.054,0.0,0.0,5.0,NO
scan_high,Run_J,0.0982,0.0838,0.6439,2.9,-0.2512,3.87,NO
scan_high,Run_K,0.8379,0.7872,0.0195,9.41,0.5006,50.55,NO
scan_high,Run_L,0.1116,0.0547,0.0681,8.39,-0.0209,9.59,NO
scan_high,Run_M,0.0111,0.004,0.043,1.13,-0.8718,77.86,NO
scan_high,Run_B,0.8709,0.8362,0.043,16.0,0.0,10.0,baseline
scan_high,Run_I_CNN,0.8615,0.8023,0.068,0.0,0.0,5.0,NO
mixed,Run_J,0.0756,0.0714,0.6148,3.29,-0.1517,4.17,NO
mixed,Run_K,0.8186,0.8054,0.0021,5.36,0.5562,30.81,TIE
mixed,Run_L,0.0907,0.0605,0.0695,5.97,-0.0578,9.43,NO
mixed,Run_M,0.0481,0.0399,0.027,1.14,-0.8633,57.67,NO
mixed,Run_B,0.8097,0.7499,0.027,8.1,0.0,10.0,baseline
mixed,Run_I_CNN,0.852,0.828,0.037,0.0,0.0,5.0,YES
